RestaurantName,Name,Description,Price,ImageUrl,MealType
Mama Mia Trattoria,Lasagna Bolognese,Layered pasta with rich meat sauce,13.50,,Dinner
Mama Mia Trattoria,Fettuccine Alfredo,Creamy parmesan pasta,12.50,,Lunch
Mama Mia Trattoria,Caprese Salad,Tomato mozzarella and fresh basil,8.00,,Appetizers
Mama Mia Trattoria,Cannoli,Crisp shells with sweet ricotta,5.50,,Dessert
The Smokehouse,Smoked Beef Brisket,Slow-smoked for twelve hours,16.00,,Dinner
The Smokehouse,Pork Ribs,Fall-off-the-bone baby back ribs,15.50,,Dinner
The Smokehouse,Pulled Pork Sandwich,Smoked pork with coleslaw,11.00,,Lunch
The Smokehouse,Mac and Cheese,Creamy baked macaroni,5.50,,Lunch
Ocean Catch,Grilled Salmon,Atlantic salmon with lemon butter,17.00,,Dinner
Ocean Catch,Fish and Chips,Beer-battered cod with fries,13.50,,Appetizers
Ocean Catch,Garlic Shrimp,Sauteed shrimp in garlic butter,14.00,,Lunch
Ocean Catch,Clam Chowder,Creamy New England chowder,7.50,,Appetizers
Pho Saigon,Beef Pho,Rice noodle soup with tender beef,11.50,,Dinner
Pho Saigon,Chicken Banh Mi,Vietnamese baguette sandwich,8.50,,Lunch
Pho Saigon,Fresh Spring Rolls,Shrimp and herbs in rice paper,6.50,,Appetizers
Pho Saigon,Vietnamese Iced Coffee,Sweet condensed milk coffee,4.50,,Breakfast
Athens Grill,Chicken Gyro,Grilled chicken with tzatziki,9.50,,Dinner
Athens Grill,Lamb Souvlaki,Skewered grilled lamb,12.00,,Dinner
Athens Grill,Greek Salad,Tomato cucumber feta and olives,8.50,,Appetizers
Athens Grill,Baklava,Layered phyllo with honey and nuts,5.00,,Dessert
Seoul Kitchen,Bibimbap,Rice bowl with vegetables and egg,11.50,,Dinner
Seoul Kitchen,Korean BBQ Beef,Marinated grilled bulgogi,14.00,,Dinner
Seoul Kitchen,Kimchi Stew,Spicy fermented cabbage stew,10.50,,Lunch
Seoul Kitchen,Mandu Dumplings,Pan-fried Korean dumplings,6.50,,Appetizers
The Breakfast Club,Buttermilk Pancakes,Fluffy stack with maple syrup,8.50,,Breakfast
The Breakfast Club,Eggs Benedict,Poached eggs and hollandaise,10.50,,Breakfast
The Breakfast Club,Western Omelette,Ham peppers and cheese,9.50,,Breakfast
The Breakfast Club,Fresh Brewed Coffee,House blend drip coffee,3.00,,Breakfast
Casa Mexicana,Chicken Enchiladas,Rolled tortillas with red sauce,11.50,,Dinner
Casa Mexicana,Beef Fajitas,Sizzling beef with peppers and onions,13.50,,Dinner
Casa Mexicana,Guacamole and Chips,Fresh guacamole with tortilla chips,6.00,,Appetizers
Casa Mexicana,Churros,Cinnamon sugar fried dough,5.00,,Dessert
Thai Orchid,Pad Thai,Stir-fried rice noodles with peanuts,11.00,,Dinner
Thai Orchid,Green Curry,Coconut curry with vegetables,12.00,,Dinner
Thai Orchid,Tom Yum Soup,Spicy and sour shrimp soup,8.50,,Appetizers
Thai Orchid,Mango Sticky Rice,Sweet rice with fresh mango,6.00,,Dessert
The Cheese Board,Classic Grilled Cheese,Three cheeses on sourdough,8.00,,Appetizers
The Cheese Board,Tomato Basil Soup,Creamy roasted tomato soup,6.00,,Appetizers
The Cheese Board,Charcuterie Plate,Cured meats and artisan cheeses,14.00,,Appetizers
The Cheese Board,Mac and Cheese Bites,Crispy fried mac bites,7.00,,Appetizers
Sultan Kebab,Chicken Doner Kebab,Spit-roasted chicken wrap,9.50,,Dinner
Sultan Kebab,Lamb Pide,Turkish flatbread with spiced lamb,11.50,,Dinner
Sultan Kebab,Hummus Plate,Creamy hummus with warm bread,6.50,,Appetizers
Sultan Kebab,Pistachio Baklava,Sweet layered pastry with pistachio,5.00,,Dessert
Berlin Haus,Bratwurst Platter,Grilled sausage with sauerkraut,12.00,,Dinner
Berlin Haus,Wiener Schnitzel,Breaded veal cutlet,15.00,,Dinner
Berlin Haus,Soft Pretzel,Warm pretzel with mustard,4.50,,Appetizers
Berlin Haus,Black Forest Cake,Chocolate cherry layer cake,6.00,,Dessert
The Noodle Bar,Tonkotsu Ramen,Rich pork bone broth ramen,12.50,,Dinner
The Noodle Bar,Beef Udon,Thick noodles in savory broth,11.00,,Dinner
The Noodle Bar,Pork Gyoza,Pan-fried pork dumplings,6.50,,Appetizers
The Noodle Bar,Edamame,Steamed soybeans with sea salt,4.00,,Appetizers
Sweet Tooth,Chocolate Lava Cake,Warm cake with a molten center,7.00,,Dessert
Sweet Tooth,New York Cheesecake,Classic creamy cheesecake,6.50,,Dessert
Sweet Tooth,Artisan Gelato,Choice of three scoops,5.50,,Dessert
Sweet Tooth,Fruit Tart,Pastry with custard and fresh fruit,6.00,,Dessert
Farm Table,Roasted Vegetable Bowl,Seasonal vegetables and grains,12.00,,Lunch
Farm Table,Heirloom Tomato Salad,Local tomatoes and basil,9.50,,Appetizers
Farm Table,Grilled Chicken Plate,Free-range chicken and greens,14.00,,Lunch
Farm Table,Apple Crumble,Warm spiced apples with oats,6.50,,Dessert
The Curry House,Lamb Vindaloo,Fiery Goan-style curry,14.00,,Dinner
The Curry House,Butter Chicken,Creamy tomato chicken curry,13.00,,Lunch
The Curry House,Chicken Biryani,Fragrant spiced rice with chicken,12.50,,Dinner
The Curry House,Mango Lassi,Sweet yogurt and mango drink,4.00,,Appetizers
Pizza Forno,Thin Crust Margherita,Crispy crust tomato and mozzarella,11.50,,Dinner
Pizza Forno,Quattro Formaggi,Four cheese pizza,13.50,,Dinner
Pizza Forno,Garlic Knots,Baked knots with garlic butter,5.00,,Appetizers
Pizza Forno,Caesar Salad,Romaine parmesan and croutons,7.50,,Appetizers
Rincon Latino,Beef Empanadas,Baked pastry with spiced beef,7.50,,Lunch
Rincon Latino,Cheese Arepas,Grilled corn cakes with cheese,8.50,,Lunch
Rincon Latino,Shrimp Ceviche,Citrus-marinated fresh shrimp,12.00,,Appetizers
Rincon Latino,Tres Leches Cake,Three milk sponge cake,6.00,,Dessert
The Wing Spot,Buffalo Wings,Classic spicy buffalo wings,10.50,,Appetizers
The Wing Spot,BBQ Wings,Smoky barbecue glazed wings,10.50,,Appetizers
The Wing Spot,Chicken Tenders,Crispy breaded tenders,9.00,,Appetizers
The Wing Spot,Loaded Fries,Fries with cheese and bacon,6.50,,Appetizers
Veggie Delight,Falafel Wrap,Crispy falafel with tahini,8.50,,Lunch
Veggie Delight,Buddha Bowl,Grains greens and roasted vegetables,11.00,,Lunch
Veggie Delight,Green Smoothie,Spinach mango and banana,6.00,,Breakfast
Veggie Delight,Hummus and Veggies,Fresh vegetables with hummus,6.50,,Appetizers
Tokyo Teppan,Teppanyaki Steak,Grilled steak with vegetables,18.00,,Dinner
Tokyo Teppan,Chicken Bento Box,Chicken rice and assorted sides,13.00,,Dinner
Tokyo Teppan,Shrimp Tempura,Lightly battered fried shrimp,11.50,,Dinner
Tokyo Teppan,Green Tea Ice Cream,Matcha ice cream,4.50,,Dessert
The Coffee Corner,Avocado Toast,Sourdough with smashed avocado,8.00,,Breakfast
The Coffee Corner,Breakfast Burrito,Eggs cheese and potato,9.00,,Breakfast
The Coffee Corner,Cappuccino,Espresso with steamed milk,4.00,,Breakfast
The Coffee Corner,Blueberry Muffin,Fresh baked muffin,3.50,,Breakfast
